,Unnamed: 0,Reglbrev_id,Stycke-id,RegleringsbrevÅr,Mening innan,Kontext,Departement,Beslutnamn,UO,UOnamn,Anslag,Anslagsår,Anslagnamn,Anslagspost,Anslagspostnamn,Delpost,Delpostnamn,UtskriftNomenklatur,Myndighet,Belopp,text,label,Sammanfoga,Uppdelad,Unnamed: 24
10,30321,1186,20628,2016,,<ol>  <li>Från anslagsposten ska kostnaderna för en av regeringen utsedd tjänsteman stationerad vid Sveriges ständiga representation vid EU i Bryssel betalas.</li>  <li>Från anslagsposten får högst 10 000 000 kronor användas med anledning av eventuella särskilda krav från EU-kommissionen på grund av att Tullverket underlåtit att iaktta skyldigheten att fastställa och betala in traditionella egna medel. Detta ska dock inte gälla krav på egna medel till följd av beslut som ligger utanför Tullverkets kontroll. Ett exempel på detta är underlåtenhet som kan härledas till gällande svenska bestämmelser snarare än Tullverkets tillämpning av dessa. Ett annat exempel är fall där räntekostnader uppkommit till följd av att regeringen har valt att driva ett ärende mot kommissionen.</li>  <li>Från anslagsposten får högst 9 998 800 kronor användas för abonnemangsavgift för det gemensamma radiokommunikations- systemet Rakel. Tullverket ska kunna använda och samverka med stöd av Rakel. Beloppet ska betalas till Myndigheten för samhällsskydd och beredskap efter fakturering. </li>  </ol>,Finansdepartementet,Myndighet Tullverket,3,"Skatt, tull och exekution",03 01 003,2016,Tullverket,1,Tullverket,,,1:3 ap.1,Tullverket,1727170000, Från anslagsposten får högst 9 998 800 kronor användas för abonnemangsavgift för det gemensamma radiokommunikations- systemet Rakel.,0,,,
11,30322,1186,20628,2016,,<ol>  <li>Från anslagsposten ska kostnaderna för en av regeringen utsedd tjänsteman stationerad vid Sveriges ständiga representation vid EU i Bryssel betalas.</li>  <li>Från anslagsposten får högst 10 000 000 kronor användas med anledning av eventuella särskilda krav från EU-kommissionen på grund av att Tullverket underlåtit att iaktta skyldigheten att fastställa och betala in traditionella egna medel. Detta ska dock inte gälla krav på egna medel till följd av beslut som ligger utanför Tullverkets kontroll. Ett exempel på detta är underlåtenhet som kan härledas till gällande svenska bestämmelser snarare än Tullverkets tillämpning av dessa. Ett annat exempel är fall där räntekostnader uppkommit till följd av att regeringen har valt att driva ett ärende mot kommissionen.</li>  <li>Från anslagsposten får högst 9 998 800 kronor användas för abonnemangsavgift för det gemensamma radiokommunikations- systemet Rakel. Tullverket ska kunna använda och samverka med stöd av Rakel. Beloppet ska betalas till Myndigheten för samhällsskydd och beredskap efter fakturering. </li>  </ol>,Finansdepartementet,Myndighet Tullverket,3,"Skatt, tull och exekution",03 01 003,2016,Tullverket,1,Tullverket,,,1:3 ap.1,Tullverket,1727170000,Tullverket ska kunna använda och samverka med stöd av Rakel.,0,,,
12,30323,1186,20628,2016,,<ol>  <li>Från anslagsposten ska kostnaderna för en av regeringen utsedd tjänsteman stationerad vid Sveriges ständiga representation vid EU i Bryssel betalas.</li>  <li>Från anslagsposten får högst 10 000 000 kronor användas med anledning av eventuella särskilda krav från EU-kommissionen på grund av att Tullverket underlåtit att iaktta skyldigheten att fastställa och betala in traditionella egna medel. Detta ska dock inte gälla krav på egna medel till följd av beslut som ligger utanför Tullverkets kontroll. Ett exempel på detta är underlåtenhet som kan härledas till gällande svenska bestämmelser snarare än Tullverkets tillämpning av dessa. Ett annat exempel är fall där räntekostnader uppkommit till följd av att regeringen har valt att driva ett ärende mot kommissionen.</li>  <li>Från anslagsposten får högst 9 998 800 kronor användas för abonnemangsavgift för det gemensamma radiokommunikations- systemet Rakel. Tullverket ska kunna använda och samverka med stöd av Rakel. Beloppet ska betalas till Myndigheten för samhällsskydd och beredskap efter fakturering. </li>  </ol>,Finansdepartementet,Myndighet Tullverket,3,"Skatt, tull och exekution",03 01 003,2016,Tullverket,1,Tullverket,,,1:3 ap.1,Tullverket,1727170000,Beloppet ska betalas till Myndigheten för samhällsskydd och beredskap efter fakturering.,0,,,
13,25881,982,17703,2017,,Anslaget får även användas för Brå:s personalkostnader och övriga kostnader kopplade till sådan verksamhet.,Justitiedepartementet,Myndighet Brottsförebyggande rådet,4,Rättsväsendet,04 01 015,2017,Bidrag till lokalt brottsförebyggande arbete,1,Bidrag till lokalt brottsförebyggande arbete,,,1:15 ap.1,Brottsförebyggande rådet,22157000,Anslaget får även användas för Brå:s personalkostnader och övriga kostnader kopplade till sådan verksamhet.,0,,,
14,56743,2296,38568,2010,,Medlen disponeras av Socialstyrelsen och utbetalas utan särskild rekvisition till Sveriges Kommuner och Landsting.,Socialdepartementet,Myndighet Socialstyrelsen,9,"Hälsovård, sjukvård och social omsorg",09 01 006,2010,Bidrag till hälso- och sjukvård,56,Utvecklingsstöd för bättre kvalitet och effektivitet,,,1:6 ap.56,Socialstyrelsen,9500000,Medlen disponeras av Socialstyrelsen och utbetalas utan särskild rekvisition till Sveriges Kommuner och Landsting.,0,,,
15,24781,943,16973,2018,,Anslagsposten finansierar avgifter till internationella organisationer samt vissa utgifter för internationellt samarbete inom energiområdet.,Miljö- och energidepartementet,Myndighet Statens energimyndighet,21,Energi,21 01 009,2018,Avgifter till internationella organisationer,2,Avg. till int. org - del till STEM,,,1:9 ap.2,Statens energimyndighet,19328000,Anslagsposten finansierar avgifter till internationella organisationer samt vissa utgifter för internationellt samarbete inom energiområdet.,0,,,
16,27858,1053,18822,2017,,Anslagsposten får belastas med utgifter för tilläggsbidrag enligt 3 kap. 13 a § studiestödslagen (1999:1395).,Utbildningsdepartementet,Myndighet Centrala studiestödsnämnden,15,Studiestöd,15 01 002,2017,Studiemedel,4,Tilläggsbidrag,,,1:2 ap.4,Centrala studiestödsnämnden,460000000,Anslagsposten får belastas med utgifter för tilläggsbidrag enligt 3 kap. 13 a § studiestödslagen (1999:1395).,0,,,
17,16899,657,11282,2019,,"<strong>Kortare insatser under budgetåret<br /></strong>Medlen får även användas för att finansiera kortare insatser, uppdrag eller särskilda projekt i fält. Deltagande i dessa insatser ska ske i samråd med Regeringskansliet (Justitiedepartementet och Utrikesdepartementet).",Utrikesdepartementet,Anslag 07 01 001,7,Internationellt bistånd,07 01 001,2019,Biståndsverksamhet,12,Internationell civil krishantering - del till Polismyndigheten,,,1:1 ap.12,Polismyndigheten,197000000,"**Kortare insatser under budgetåretMedlen får även användas för att finansiera kortare insatser, uppdrag eller särskilda projekt i fält.",0,,,
18,16900,657,11282,2019,,"<strong>Kortare insatser under budgetåret<br /></strong>Medlen får även användas för att finansiera kortare insatser, uppdrag eller särskilda projekt i fält. Deltagande i dessa insatser ska ske i samråd med Regeringskansliet (Justitiedepartementet och Utrikesdepartementet).",Utrikesdepartementet,Anslag 07 01 001,7,Internationellt bistånd,07 01 001,2019,Biståndsverksamhet,12,Internationell civil krishantering - del till Polismyndigheten,,,1:1 ap.12,Polismyndigheten,197000000,Deltagande i dessa insatser ska ske i samråd med Regeringskansliet (Justitiedepartementet och Utrikesdepartementet).,0,,,
19,24586,943,16878,2018,,"Myndighetens insatser inriktas mot metodutveckling där ett särskilt fokus ska läggas på mätning, rapportering och verifiering av klimatnytta och bidraget till hållbar utveckling. Myndighetens insatser inriktas även mot förberedande och understödjande arbete för genomförande av pilotinsatser och på sikt konkreta s.k. artikel 6-samarbeten.",Miljö- och energidepartementet,Anslag 20 01 012,20,Allmän miljö- och naturvård,20 01 012,2018,Insatser för internationella klimatinvesteringar,4,Int. insatser Parisavtalet,,,1:12 ap.4,Statens energimyndighet,30000000,"Myndighetens insatser inriktas mot metodutveckling där ett särskilt fokus ska läggas på mätning, rapportering och verifiering av klimatnytta och bidraget till hållbar utveckling.",0,,,
20,24587,943,16878,2018,,"Myndighetens insatser inriktas mot metodutveckling där ett särskilt fokus ska läggas på mätning, rapportering och verifiering av klimatnytta och bidraget till hållbar utveckling. Myndighetens insatser inriktas även mot förberedande och understödjande arbete för genomförande av pilotinsatser och på sikt konkreta s.k. artikel 6-samarbeten.",Miljö- och energidepartementet,Anslag 20 01 012,20,Allmän miljö- och naturvård,20 01 012,2018,Insatser för internationella klimatinvesteringar,4,Int. insatser Parisavtalet,,,1:12 ap.4,Statens energimyndighet,30000000,Myndighetens insatser inriktas även mot förberedande och understödjande arbete för genomförande av pilotinsatser och på sikt konkreta s.k. artikel 6-samarbeten.,0,,,
21,33683,1287,22841,2016,,"Statens energimyndighet får utbetala högst 2 000 000 kronor till Länsstyrelsen i Östergötlands län, för samordning och samverkan mellan länsstyrelserna för att gemensamt utveckla länsstyrelsernas arbete på området energi- och klimatomställning.",Miljö- och energidepartementet,Myndighet Statens energimyndighet,21,Energi,21 01 011,2016,Lokal och regional kapacitetsutveckling för klimat- och energiomställning,1,Lokal och regional kapacitetsutveckling för klimat- och energiomställning,,,1:11 ap.1,Statens energimyndighet,25000000,"Statens energimyndighet får utbetala högst 2 000 000 kronor till Länsstyrelsen i Östergötlands län, för samordning och samverkan mellan länsstyrelserna för att gemensamt utveckla länsstyrelsernas arbete på området energi- och klimatomställning.",0,,,
22,50129,1794,33560,2012,,"Medel under anslagsposten ska användas för ett elevbaserat tilläggsbidrag till Göteborgs, Kristianstads, Stockholms och Umeå kommuner för utbildning i gymnasieskolan för svårt rörelsehindrade elever. Antalet elevplatser och tilläggsbidraget för respektive kommun 2012 anges nedan. Medlen ska utbetalas till respektive kommun under februari och november 2012 med hälften av bidraget vid varje tillfälle.",Utbildningsdepartementet,Myndighet Statens skolverk,16,Utbildning och universitetsforskning,16 01 006,2012,Särskilda insatser inom skolområdet,2,Särskilda bidrag för riksrekryterande gymnasial utbildning för elever med funktionshinder,,,1:6 ap.2,Statens skolverk,218134000,"Medel under anslagsposten ska användas för ett elevbaserat tilläggsbidrag till Göteborgs, Kristianstads, Stockholms och Umeå kommuner för utbildning i gymnasieskolan för svårt rörelsehindrade elever.",0,,,
23,50131,1794,33560,2012,,"Medel under anslagsposten ska användas för ett elevbaserat tilläggsbidrag till Göteborgs, Kristianstads, Stockholms och Umeå kommuner för utbildning i gymnasieskolan för svårt rörelsehindrade elever. Antalet elevplatser och tilläggsbidraget för respektive kommun 2012 anges nedan. Medlen ska utbetalas till respektive kommun under februari och november 2012 med hälften av bidraget vid varje tillfälle.",Utbildningsdepartementet,Myndighet Statens skolverk,16,Utbildning och universitetsforskning,16 01 006,2012,Särskilda insatser inom skolområdet,2,Särskilda bidrag för riksrekryterande gymnasial utbildning för elever med funktionshinder,,,1:6 ap.2,Statens skolverk,218134000,Medlen ska utbetalas till respektive kommun under februari och november 2012 med hälften av bidraget vid varje tillfälle.,1,,,
24,59060,2405,40343,2010,,3. Jordbruksverket ska inom ramen för medel avsatta för särskilt stöd lämna stöd om högst 5 000 000 kronor för kostnader för kvalitets- och marknadsföringsåtgärder för att förbättra kvaliteten hos livsmedel och jordbruksprodukter på den inre marknaden. Stöd ska även lämnas om högst 5 000 000 kronor för organisering av och deltagande i jordbruksutställningar och livsmedelsmässor inom EU. Stöden får högst motsvara 75 procent av den enskilde lantbrukarens faktiska kostnader samt att det maximala stödbelopp som en enskild lantbrukare under ett år kan erhålla får uppgå till högst 50 000 kronor.,Jordbruksdepartementet,Myndighet Statens jordbruksverk,23,"Areella näringar, landsbygd och livsmedel",23 01 011,2010,Gårdsstöd och djurbidrag m.m.,1,Gårdsstöd och djurbidrag m.m.,,,1:11 ap.1,Statens jordbruksverk,8149757000,Jordbruksverket ska inom ramen för medel avsatta för särskilt stöd lämna stöd om högst 5 000 000 kronor för kostnader för kvalitets- och marknadsföringsåtgärder för att förbättra kvaliteten hos livsmedel och jordbruksprodukter på den inre marknaden.,0,,,
25,59061,2405,40343,2010,,3. Jordbruksverket ska inom ramen för medel avsatta för särskilt stöd lämna stöd om högst 5 000 000 kronor för kostnader för kvalitets- och marknadsföringsåtgärder för att förbättra kvaliteten hos livsmedel och jordbruksprodukter på den inre marknaden. Stöd ska även lämnas om högst 5 000 000 kronor för organisering av och deltagande i jordbruksutställningar och livsmedelsmässor inom EU. Stöden får högst motsvara 75 procent av den enskilde lantbrukarens faktiska kostnader samt att det maximala stödbelopp som en enskild lantbrukare under ett år kan erhålla får uppgå till högst 50 000 kronor.,Jordbruksdepartementet,Myndighet Statens jordbruksverk,23,"Areella näringar, landsbygd och livsmedel",23 01 011,2010,Gårdsstöd och djurbidrag m.m.,1,Gårdsstöd och djurbidrag m.m.,,,1:11 ap.1,Statens jordbruksverk,8149757000,Stöd ska även lämnas om högst 5 000 000 kronor för organisering av och deltagande i jordbruksutställningar och livsmedelsmässor inom EU.,0,,,
26,59062,2405,40343,2010,,3. Jordbruksverket ska inom ramen för medel avsatta för särskilt stöd lämna stöd om högst 5 000 000 kronor för kostnader för kvalitets- och marknadsföringsåtgärder för att förbättra kvaliteten hos livsmedel och jordbruksprodukter på den inre marknaden. Stöd ska även lämnas om högst 5 000 000 kronor för organisering av och deltagande i jordbruksutställningar och livsmedelsmässor inom EU. Stöden får högst motsvara 75 procent av den enskilde lantbrukarens faktiska kostnader samt att det maximala stödbelopp som en enskild lantbrukare under ett år kan erhålla får uppgå till högst 50 000 kronor.,Jordbruksdepartementet,Myndighet Statens jordbruksverk,23,"Areella näringar, landsbygd och livsmedel",23 01 011,2010,Gårdsstöd och djurbidrag m.m.,1,Gårdsstöd och djurbidrag m.m.,,,1:11 ap.1,Statens jordbruksverk,8149757000,Stöden får högst motsvara 75 procent av den enskilde lantbrukarens faktiska kostnader samt att det maximala stödbelopp som en enskild lantbrukare under ett år kan erhålla får uppgå till högst 50 000 kronor.,0,,,
27,56628,2296,38475,2010,,"-genomföra en omvärldsanalys avseende tillgång på influensavaccin för att täcka behov vid en framtida influensapandemi,",Socialdepartementet,Myndighet Statens folkhälsoinstitut,9,"Hälsovård, sjukvård och social omsorg",09 02 006,2010,Folkhälsopolitiska åtgärder,10,Samordning av beredskap för utbrott av allvarliga smittsamma sjukdomar,,,2:6 ap.10,Socialstyrelsen,5000000,"-genomföra en omvärldsanalys avseende tillgång på influensavaccin för att täcka behov vid en framtida influensapandemi,",0,,,
28,31334,1150,21365,2016,,Resterande får användas efter beslut av regeringen.,Socialdepartementet,Anslag 09 04 005,9,"Hälsovård, sjukvård och social omsorg",09 04 005,2016,Stimulansbidrag och åtgärder inom äldrepolitiken,11,Utvecklingsmedel - Socialstyrelsen,,,4:5 ap.11,Socialstyrelsen,8200000,Resterande får användas efter beslut av regeringen.,0,,,
29,33734,1287,22871,2016,,2 000 000 kronor ska avsättas för stöd till The Global Commission on the Economy och projektet New Climate Economy. Statens energimyndighet betalar ut medel i förskott efter rekvisition. Av rekvisitionen ska det framgå hur medlen avses att användas.,Miljö- och energidepartementet,Myndighet Statens energimyndighet,21,Energi,21 01 004,2016,Energiforskning,11,"Forskning, utveckling och innovation",,,1:4 ap.11,Statens energimyndighet,1304376000,2 000 000 kronor ska avsättas för stöd till The Global Commission on the Economy och projektet New Climate Economy.,0,,,
30,33735,1287,22871,2016,,2 000 000 kronor ska avsättas för stöd till The Global Commission on the Economy och projektet New Climate Economy. Statens energimyndighet betalar ut medel i förskott efter rekvisition. Av rekvisitionen ska det framgå hur medlen avses att användas.,Miljö- och energidepartementet,Myndighet Statens energimyndighet,21,Energi,21 01 004,2016,Energiforskning,11,"Forskning, utveckling och innovation",,,1:4 ap.11,Statens energimyndighet,1304376000,Statens energimyndighet betalar ut medel i förskott efter rekvisition.,0,,,
31,33736,1287,22871,2016,,2 000 000 kronor ska avsättas för stöd till The Global Commission on the Economy och projektet New Climate Economy. Statens energimyndighet betalar ut medel i förskott efter rekvisition. Av rekvisitionen ska det framgå hur medlen avses att användas.,Miljö- och energidepartementet,Myndighet Statens energimyndighet,21,Energi,21 01 004,2016,Energiforskning,11,"Forskning, utveckling och innovation",,,1:4 ap.11,Statens energimyndighet,1304376000,Av rekvisitionen ska det framgå hur medlen avses att användas.,0,,,
32,68900,2896,49065,2007,,"Bidrag lämnas enligt regeringsbeslut den 8 juni 1995 för undervisning i svenska och om Sverige vid Lycée International i Saint Germain-en-Laye, Frankrike. Belopp som avses under punkten 2 i regeringsbeslutet skall för bidragsåret 2007 utgöra 11 400 kronor per elev.",Utbildningsdepartementet,Anslag 25:10,16,Utbildning och universitetsforskning,16 25 10,2007,Bidrag till svensk undervisning i utlandet,1,Elev- och lokalkostnadsbidrag vid svensk undervisning i utlandet,,,25:10 ap.1,Statens skolverk,96733000,"Bidrag lämnas enligt regeringsbeslut den 8 juni 1995 för undervisning i svenska och om Sverige vid Lycée International i Saint Germain-en-Laye, Frankrike.",0,,,
33,68901,2896,49065,2007,,"Bidrag lämnas enligt regeringsbeslut den 8 juni 1995 för undervisning i svenska och om Sverige vid Lycée International i Saint Germain-en-Laye, Frankrike. Belopp som avses under punkten 2 i regeringsbeslutet skall för bidragsåret 2007 utgöra 11 400 kronor per elev.",Utbildningsdepartementet,Anslag 25:10,16,Utbildning och universitetsforskning,16 25 10,2007,Bidrag till svensk undervisning i utlandet,1,Elev- och lokalkostnadsbidrag vid svensk undervisning i utlandet,,,25:10 ap.1,Statens skolverk,96733000,Belopp som avses under punkten 2 i regeringsbeslutet skall för bidragsåret 2007 utgöra 11 400 kronor per elev.,0,,,
34,44497,1554,29892,2013,,"Medlen ska användas i enlighet med strategi för stöd genom svenska organisationer i det civila samhället 2010-2014 (UF2009/28632/UP, UF2011/37797/UD/UP).",Utrikesdepartementet,Myndighet Styrelsen för internationellt utvecklingssamarbete,7,Internationellt bistånd,07 01 001,2013,Biståndsverksamhet,5,Stöd genom svenska organisationer i det civila samhället,,,1:1 ap.5,Styrelsen för internationellt utvecklingssamarbete,1550000000,"Medlen ska användas i enlighet med strategi för stöd genom svenska organisationer i det civila samhället 2010-2014 (UF2009/28632/UP, UF2011/37797/UD/UP).",0,,,
35,3403,120,2304,2022,,Karolinska institutet bemyndigas med anledning av medlemskapet i en kunskaps- och innovationsplattform inom hälsa under Europeiska institutet för innovation och teknik (EIT Health) att besluta om en årlig medlemsavgift på högst 900 000 kronor under 2020–2022 (i enlighet med beslut om vårändringsbudget för 2020).,Utbildningsdepartementet,Myndighet Karolinska institutet,16,Utbildning och universitetsforskning,16 02 016,2022,Karolinska institutet: Forskning och utbildning på forskarnivå,2,Basresurs,,,2:16 ap.2,Karolinska institutet,1749545000,Karolinska institutet bemyndigas med anledning av medlemskapet i en kunskaps- och innovationsplattform inom hälsa under Europeiska institutet för innovation och teknik (EIT Health) att besluta om en årlig medlemsavgift på högst 900 000 kronor under 2020–2022 (i enlighet med beslut om vårändringsbudget för 2020).,0,,,
36,42488,1629,28513,2014,,Med utgångspunkt i regelverket för strukturfondsprogrammen bör regionalfondsmedlen i så stor utsträckning som möjligt bidra till genomförandet av strategier för länens utveckling.,Näringsdepartementet,Anslag 1:3,19,Regional tillväxt,19 01 003,2014,Europeiska regionala utvecklingsfonden perioden 2007-2013,1,Regionala strukturfondsprogram 2007-2013 - del till Tillväxtverket,,,1:3 ap.1,Tillväxtverket,920000000,Med utgångspunkt i regelverket för strukturfondsprogrammen bör regionalfondsmedlen i så stor utsträckning som möjligt bidra till genomförandet av strategier för länens utveckling.,0,,,
